ID,FILE,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT
subject1_a,images/input1.jpg,108.2642,119.6774,170,179
subject2_a,images/input2.jpg,48.51129913,38.1551857,141.19125366,149.40893555
subject3_a,images/input3.jpg,47.94947433,26.95211983,126.64208984,169.57138062
subject4_a,images/input4.jpg,41.02483749,81.23366547,122.9382019,79.80832672
subject5_a,images/input5.jpg,44.65912247,30.22106934,138.8326416,156.31950378
subject6_a,images/input6.jpg,54.94252396,41.26684189,117.19006348,137.38693237
subject7_a,images/input7.jpg,63.90779114,54.21474075,159.63040161,90.42936707
subject8_a,images/input8.jpg,53.62681198,48.40485001,78.09403992,101.56494141
subject9_a,images/input9.jpg,55.74394226,72.12078094,76.75720215,114.19478607
subject10_a,images/input10.jpg,48.07297897,30.98786163,145.96961975,124.47624969
